date	location	variant	sequences
2022-11-06	Alabama	BQ.1	1
2022-11-07	Alabama	BQ.1	1
2022-11-09	Alabama	BQ.1	1
2022-11-25	Alabama	BQ.1	1
2022-11-28	Alabama	BQ.1	1
2022-12-02	Alabama	BQ.1	1
2022-12-06	Alabama	BQ.1	1
2022-12-12	Alabama	BQ.1	1
2022-12-16	Alabama	BQ.1	1
2022-12-19	Alabama	BQ.1	1
2022-12-20	Alabama	BQ.1	1
2022-12-09	Alabama	XBB.1.5	1
2022-12-21	Alabama	XBB.1.5	2
2022-11-01	Alabama	clade 22A	1
2022-11-03	Alabama	clade 22A	2
2022-11-09	Alabama	clade 22A	1
2022-11-22	Alabama	clade 22A	1
2022-12-11	Alabama	clade 22A	1
2022-12-20	Alabama	clade 22A	1
2022-11-01	Alabama	clade 22B	3
2022-11-02	Alabama	clade 22B	2
2022-11-03	Alabama	clade 22B	2
2022-11-07	Alabama	clade 22B	3
2022-11-08	Alabama	clade 22B	1
2022-11-09	Alabama	clade 22B	2
2022-11-10	Alabama	clade 22B	4
2022-11-12	Alabama	clade 22B	3
2022-11-13	Alabama	clade 22B	2
2022-11-16	Alabama	clade 22B	2
2022-11-17	Alabama	clade 22B	2
2022-11-28	Alabama	clade 22B	1
2022-11-29	Alabama	clade 22B	2
2022-11-30	Alabama	clade 22B	3
2022-12-01	Alabama	clade 22B	3
2022-12-02	Alabama	clade 22B	2
2022-12-03	Alabama	clade 22B	1
2022-12-04	Alabama	clade 22B	3
2022-12-05	Alabama	clade 22B	4
2022-12-06	Alabama	clade 22B	2
2022-12-07	Alabama	clade 22B	1
2022-12-08	Alabama	clade 22B	3
2022-12-11	Alabama	clade 22B	1
2022-12-12	Alabama	clade 22B	2
2022-12-14	Alabama	clade 22B	2
2022-12-15	Alabama	clade 22B	4
2022-12-19	Alabama	clade 22B	1
2022-12-20	Alabama	clade 22B	1
2022-12-21	Alabama	clade 22B	1
2022-11-05	Alabama	clade 22D	1
2022-11-17	Alabama	clade 22D	1
2022-11-25	Alabama	clade 22D	1
2022-12-06	Alabama	clade 22D	1
2022-12-11	Alabama	clade 22D	1
2022-12-12	Alabama	clade 22D	1
2022-12-15	Alabama	clade 22D	2
2022-12-16	Alabama	clade 22D	2
2022-12-20	Alabama	clade 22D	2
2022-12-21	Alabama	clade 22D	2
2022-11-01	Alabama	clade 22E	1
2022-11-02	Alabama	clade 22E	1
2022-11-03	Alabama	clade 22E	2
2022-11-04	Alabama	clade 22E	1
2022-11-07	Alabama	clade 22E	1
2022-11-10	Alabama	clade 22E	3
2022-11-11	Alabama	clade 22E	1
2022-11-12	Alabama	clade 22E	2
2022-11-13	Alabama	clade 22E	2
2022-11-14	Alabama	clade 22E	2
2022-11-16	Alabama	clade 22E	2
2022-11-17	Alabama	clade 22E	2
2022-11-18	Alabama	clade 22E	3
2022-11-21	Alabama	clade 22E	1
2022-11-22	Alabama	clade 22E	1
2022-11-23	Alabama	clade 22E	1
2022-11-28	Alabama	clade 22E	4
2022-11-29	Alabama	clade 22E	1
2022-11-30	Alabama	clade 22E	7
2022-12-01	Alabama	clade 22E	3
2022-12-02	Alabama	clade 22E	1
2022-12-03	Alabama	clade 22E	1
2022-12-04	Alabama	clade 22E	5
2022-12-05	Alabama	clade 22E	3
2022-12-06	Alabama	clade 22E	3
2022-12-07	Alabama	clade 22E	2
2022-12-08	Alabama	clade 22E	3
2022-12-09	Alabama	clade 22E	5
2022-12-10	Alabama	clade 22E	6
2022-12-11	Alabama	clade 22E	1
2022-12-12	Alabama	clade 22E	1
2022-12-13	Alabama	clade 22E	2
2022-12-14	Alabama	clade 22E	4
2022-12-15	Alabama	clade 22E	5
2022-12-17	Alabama	clade 22E	2
2022-12-18	Alabama	clade 22E	2
2022-12-19	Alabama	clade 22E	2
2022-12-20	Alabama	clade 22E	8
2022-12-21	Alabama	clade 22E	4
2022-12-22	Alabama	clade 22E	2
2022-12-24	Alabama	clade 22E	1
2022-11-30	Alabama	clade 22F	1
2022-11-21	Alabama	other	1
2022-11-02	Alaska	BQ.1	1
2022-11-22	Alaska	BQ.1	1
2022-11-30	Alaska	BQ.1	1
2023-01-01	Alaska	BQ.1	1
2022-11-08	Alaska	clade 21L	1
2022-11-22	Alaska	clade 21L	1
2022-11-30	Alaska	clade 21L	1
2023-01-04	Alaska	clade 21L	1
2022-11-01	Alaska	clade 22A	1
2022-11-02	Alaska	clade 22A	1
2022-11-04	Alaska	clade 22A	1
2022-11-06	Alaska	clade 22A	1
2022-11-08	Alaska	clade 22A	3
2022-11-09	Alaska	clade 22A	1
2022-11-15	Alaska	clade 22A	2
2022-11-17	Alaska	clade 22A	4
2022-11-18	Alaska	clade 22A	1
2022-11-20	Alaska	clade 22A	1
2022-11-21	Alaska	clade 22A	1
2022-11-23	Alaska	clade 22A	1
2022-11-24	Alaska	clade 22A	1
2022-11-26	Alaska	clade 22A	1
2022-11-27	Alaska	clade 22A	1
2022-11-28	Alaska	clade 22A	1
2022-11-29	Alaska	clade 22A	1
2022-11-30	Alaska	clade 22A	1
2022-12-16	Alaska	clade 22A	1
2022-12-29	Alaska	clade 22A	1
2022-11-01	Alaska	clade 22B	1
2022-11-02	Alaska	clade 22B	6
2022-11-03	Alaska	clade 22B	3
2022-11-04	Alaska	clade 22B	2
2022-11-05	Alaska	clade 22B	1
2022-11-06	Alaska	clade 22B	4
2022-11-07	Alaska	clade 22B	7
2022-11-08	Alaska	clade 22B	4
2022-11-09	Alaska	clade 22B	1
2022-11-10	Alaska	clade 22B	1
2022-11-11	Alaska	clade 22B	3
2022-11-13	Alaska	clade 22B	1
2022-11-14	Alaska	clade 22B	1
2022-11-15	Alaska	clade 22B	1
2022-11-17	Alaska	clade 22B	2
2022-11-18	Alaska	clade 22B	2
2022-11-21	Alaska	clade 22B	2
2022-11-22	Alaska	clade 22B	4
2022-11-23	Alaska	clade 22B	1
2022-11-25	Alaska	clade 22B	1
2022-11-26	Alaska	clade 22B	1
2022-11-27	Alaska	clade 22B	1
2022-11-28	Alaska	clade 22B	2
2022-11-29	Alaska	clade 22B	4
2022-11-30	Alaska	clade 22B	1
